"","denial","adversary","esca_scaled","esca_scaled_wa","MA_scaled","GovTrust","NewsTrust","IntTrust","NC_scaled","Military.Service","Read.FP","reputation_scaled","ambiguity","insulting","war","airstrike","sanctions","diplomacy","age","male","hhi","white","black","education","republican","democrat"
"437",0,1,62.7815858138628,61.1650890115845,0.635564107663123,3,3,4,-0.396468989203223,NA,4,91.6392696148725,4,4,3,3,4,4,26,0,9,0,0,2,0,0
"438",1,1,31.9023292754289,26.0118887974447,1.79358181754476,2,1,4,0.696063241088244,1,5,25.4000866218848,3,3,1,1,3,4,18,1,14,1,0,2,1,0
"439",1,1,62.2436734652623,67.5912704095413,-0.929582977779368,2,1,2,0.361114102831249,0,2,58.3607303851275,3,4,3,4,4,3,34,0,2,1,0,4,1,0
"440",1,1,69.1207434615661,64.8467997858601,3.42331584218162,4,4,4,0.361114102831249,0,4,91.6392696148725,3,4,3,3,4,5,67,1,7,1,0,3,0,0
"441",0,1,74.9472480397939,78.7110513792183,-1.77674345969498,4,3,2,-0.731418127460218,0,5,50,3,4,2,4,5,5,41,0,23,1,0,7,0,1
"442",1,1,31.3391576477032,28.6817107742756,-1.77674345969498,2,2,4,-0.0615198509462284,0,3,33.2785392297449,3,3,2,2,2,3,24,0,8,1,0,6,0,1
"443",1,1,68.5300791527595,74.9840325630352,-0.211596374252489,3,4,3,-0.396468989203223,0,4,67.0393562367572,3,4,1,4,5,5,57,0,21,1,0,6,0,1
"444",1,1,62.806845092988,64.9214484327104,-2.08760068766101,2,2,2,-0.396468989203223,0,2,0,3,4,2,3,5,4,47,0,4,1,0,2,0,0
"445",0,1,56.3138983685781,49.9253513531497,0.0992608537135411,2,1,2,-0.396468989203223,0,3,58.3607303851275,4,4,4,3,2,4,39,0,7,1,0,5,1,0
"446",0,1,12.7815858138628,11.1650890115845,-1.55129743371143,2,1,3,-0.731418127460218,0,4,16.8804085035061,3,1,1,1,2,2,20,0,1,1,0,4,0,1
"447",0,1,51.1263432554513,44.6603560463381,-4.0281919402639,2,1,1,-1.1540520812377,0,1,75,4,1,1,1,5,5,25,1,3,1,0,4,0,0
