,denial,adversary,esca_scaled,MA_scaled,GovTrust,NewsTrust,IntTrust,NC_scaled,Military.Service,Read.FP,reputation_scaled,ambiguity,insulting,war,airstrike,sanctions,diplomacy,age,male,hhi,white,black,education,republican,democrat
139,0,1,37.78158581,1.48272459,4,2,2,0.361114103,0,4,41.8804085,4,5,2,2,3,3,38,0,5,1,0,5,0,1
140,0,1,87.78158581,-1.712156521,3,2,4,-0.396468989,0,4,66.48032188,4,4,4,4,5,5,32,1,3,1,0,3,1,0
141,1,1,18.58283111,-0.522453602,3,3,3,-0.396468989,0,4,33.36073039,2,2,1,2,2,2,27,0,1,0,0,3,0,0
142,0,1,50.56317163,1.48272459,3,3,2,-0.396468989,0,5,66.8804085,4,2,2,2,4,4,74,0,16,1,0,6,1,0
143,0,1,51.12634326,-4.339049168,1,1,4,-0.819102943,1,2,25.55903436,4,1,1,1,5,5,56,1,2,1,0,5,1,0
144,0,1,55.9297751,2.265298132,2,1,4,0.361114103,1,2,100,4,5,2,4,5,2,38,1,20,1,0,6,1,0
145,1,1,62.72883385,2.265298132,4,2,2,0.361114103,0,3,66.63926961,3,4,1,3,5,5,61,0,8,1,0,4,0,1
146,1,1,50,-0.147009435,4,4,4,0.026164965,0,4,24.84105227,3,1,3,3,3,3,41,0,1,0,1,2,0,0
147,0,1,68.53007915,1.858168757,3,2,2,-0.061519851,0,3,57.80169603,4,3,1,4,5,5,45,1,6,1,0,5,0,1
148,1,1,31.79905876,-1.77674346,4,3,4,-0.819102943,0,5,16.8804085,3,2,1,1,2,5,31,1,16,1,0,6,0,1
149,0,1,62.19092151,1.171867362,4,2,4,-0.061519851,0,4,75.15894773,4,5,1,4,5,4,67,0,8,1,0,5,0,1
150,0,1,93.58283111,0.163847793,2,2,3,-0.061519851,0,2,91.8804085,4,5,4,5,5,5,34,0,11,0,0,7,0,1
151,0,1,42.99440021,-0.554138811,2,3,2,-0.061519851,0,4,16.48032188,4,5,4,4,1,2,40,1,6,1,0,5,0,0
152,0,1,49.94724804,-1.305027145,3,3,3,-0.484153805,0,1,67.03935624,4,3,1,3,4,4,19,0,1,1,0,2,0,0
153,1,1,0,-2.398457916,2,2,3,-0.396468989,0,1,17.03935624,3,3,1,1,1,1,29,0,1,0,0,2,0,0
154,1,1,12.78158581,-1.208754997,4,2,2,0.696063241,0,5,58.03740034,3,4,1,1,2,2,80,0,6,1,0,4,0,1
155,1,1,18.58283111,-1.77674346,4,4,4,-0.396468989,0,4,25.40008662,3,3,1,2,2,2,79,0,10,1,0,6,0,1
156,1,1,24.92198876,-1.240440206,4,2,2,0.361114103,0,2,8.360730385,2,2,1,2,2,3,27,1,3,0,1,4,0,1
157,0,1,68.47956059,-2.023013748,2,1,1,-0.484153805,0,4,83.27853923,3,4,3,4,3,5,52,0,7,1,0,2,0,0
158,1,1,81.36441693,0.32470688,4,4,4,0.361114103,0,5,66.63926961,2,3,3,4,5,5,71,0,7,1,0,6,0,1
159,0,1,50.45990111,-3.406477484,1,1,2,-0.819102943,0,5,25,3,2,2,2,3,5,32,0,8,1,0,6,1,0
160,0,1,57.54351214,-0.683312689,3,3,2,-0.396468989,0,4,75.40008662,4,5,2,1,5,5,50,1,4,0,0,4,0,0
161,1,1,25.1285298,-0.83331083,1,2,1,-0.484153805,0,5,83.76081701,3,4,1,2,4,1,31,0,5,0,0,3,0,1
162,0,1,55.82650458,-0.83331083,1,1,4,-0.396468989,0,1,8.519678118,3,2,2,4,4,3,40,0,10,0,1,6,0,0
163,1,1,0,1.48272459,2,1,3,0.361114103,0,3,25,3,4,1,1,1,1,67,0,4,1,0,6,1,0
164,1,1,12.78158581,-0.211596374,3,1,1,-0.484153805,0,3,41.48032188,2,1,1,1,2,2,31,0,5,1,0,4,1,0
165,1,1,69.12074346,2.265298132,1,1,2,-0.819102943,0,5,100,4,4,3,3,4,5,71,1,17,1,0,2,1,0
166,1,1,74.94724804,2.57615536,4,2,2,-0.061519851,0,4,75.24113889,3,4,2,4,5,5,48,0,22,1,0,6,1,0
167,1,1,56.92758855,0.635564108,4,2,3,-0.396468989,0,4,50,3,5,1,2,5,5,76,0,6,1,0,5,0,0
168,0,1,56.44242817,0.635564108,4,4,3,-0.061519851,0,2,58.51967812,4,2,3,3,4,3,24,0,7,0,0,2,0,1
169,0,1,68.53007915,-1.144168058,4,4,4,0.361114103,0,4,42.03935624,3,5,1,4,5,5,67,1,3,1,0,6,0,1
170,1,1,80.74849334,2.640742299,2,1,2,-0.819102943,0,4,50.80017324,3,5,2,5,5,5,57,1,7,1,0,4,1,0
171,1,1,12.6783153,0.635564108,1,1,4,0.783748057,0,4,58.51967812,3,1,1,1,1,3,31,0,19,1,0,6,1,0
172,0,1,69.14600274,0.013849652,2,3,2,0.361114103,1,5,50,3,3,2,3,5,5,67,0,13,1,0,4,0,1
173,0,1,74.40933569,-0.929582978,4,2,2,0.361114103,0,2,49.75886111,4,4,2,5,5,4,65,1,11,1,0,6,1,0
174,0,1,50.64118287,-0.211596374,3,3,4,-0.061519851,0,2,49.59991338,4,3,3,2,4,3,48,0,2,1,0,4,0,0
175,1,1,62.24367347,0.293021671,3,4,4,0.273429287,0,3,58.51967812,3,2,3,4,4,3,43,0,10,1,0,3,1,0
176,1,1,50.1285298,-1.465886232,2,4,4,0.361114103,0,4,75.24113889,3,5,2,3,5,2,47,0,7,1,0,3,0,1
177,0,1,25.45990111,-4.02819194,4,4,4,-0.819102943,0,4,8.519678118,3,2,1,1,2,4,28,0,12,1,0,8,0,1
178,0,1,50.1285298,0.881834396,3,3,5,0.026164965,0,4,58.51967812,4,3,2,3,5,2,81,0,21,1,0,4,0,1
179,0,1,62.78158581,-0.994169917,2,1,3,-0.396468989,0,1,66.8804085,3,5,3,3,4,4,41,0,20,1,0,2,1,0
180,0,1,74.33132445,2.57615536,4,4,4,-0.396468989,0,5,100,4,5,1,5,5,5,77,1,20,1,0,7,0,1
181,0,1,68.53007915,0.635564108,2,1,1,-1.154052081,0,5,91.8804085,4,5,1,4,5,5,66,0,10,1,0,7,0,1
182,0,1,100,3.423315842,4,2,2,0.696063241,0,4,83.76081701,4,5,5,5,5,5,38,1,20,1,0,8,0,1
183,0,1,51.12634326,-0.050737287,4,4,4,-0.396468989,0,4,8.519678118,3,4,1,1,5,5,74,0,5,1,0,4,0,1
184,0,1,68.50481987,-0.994169917,2,1,1,-0.061519851,0,3,67.03935624,3,3,2,4,4,5,37,0,20,1,0,6,1,0
185,1,1,100,3.423315842,5,5,5,1.118697195,0,5,0,4,5,5,5,5,5,41,1,24,0,0,6,1,0
186,1,1,12.78158581,1.075595214,4,1,4,0.026164965,1,4,25,3,4,1,1,2,2,49,1,19,1,0,5,1,0
187,1,1,12.14040295,-1.77674346,3,3,1,-0.061519851,0,5,66.48032188,2,4,1,2,1,2,68,0,5,0,1,5,0,1
188,1,1,37.16566223,-0.147009435,2,1,3,-1.154052081,0,1,16.48032188,3,3,1,3,3,3,38,0,16,1,0,4,0,0
189,1,1,100,1.171867362,3,3,4,0.361114103,0,4,75,3,4,5,5,5,5,79,0,12,1,0,5,0,1
190,0,1,62.72883385,-1.305027145,3,3,4,-0.396468989,1,5,58.36073039,4,3,1,3,5,5,35,0,18,1,0,6,0,1
191,0,1,25.45990111,-1.551297434,1,1,4,-0.731418127,0,4,16.8804085,4,4,1,1,2,4,20,0,1,1,0,2,0,1
192,1,1,44.14600274,1.48272459,4,4,4,-0.396468989,0,4,33.36073039,3,1,1,2,4,4,47,0,13,1,0,7,1,0
193,0,1,37.21841419,3.423315842,3,2,4,-0.061519851,0,1,58.67862585,4,4,3,3,2,2,57,0,2,1,0,5,0,1
194,1,1,31.33915765,1.48272459,2,1,2,-0.061519851,0,4,58.36073039,3,4,2,2,2,3,46,0,11,0,0,6,1,0
195,1,1,19.12074346,0.946421336,3,2,2,0.026164965,0,4,66.48032188,3,4,1,1,2,3,49,0,11,1,0,5,1,0
196,1,1,74.94724804,2.265298132,4,4,4,0.696063241,0,2,66.8804085,3,4,2,4,5,5,42,0,22,0,1,6,0,1
